State,percent-direct-college,high-school-graduates,high-school-enrolled-college
Alabama,65.95,48690,32111
Alaska,41.14,7758,3192
Arizona,50.09,68985,34558
Arkansas,63.13,31315,19770
California,66.01,431009,284529
Colorado,57.98,58612,33982
Connecticut,78.05,40056,31265
Delaware,70.93,9689,6872
Florida,64.56,181999,117494
Georgia,65.37,108051,70630
Hawaii,61.39,13702,8412
Idaho,43.93,20739,9111
Illinois,61.72,145526,89814
Indiana,61.32,75013,46001
Iowa,65.98,35032,23113
Kansas,61.9,35484,21965
Kentucky,64.08,46380,29722
Louisiana,68.78,45047,30984
Maine,58.8,14353,8439
Maryland,65.38,62688,40985
Massachusetts,74.09,73563,54505
Michigan,64.79,103250,66900
Minnesota,67.72,62303,42189
Mississippi,80.47,28885,23244
Missouri,59.27,68514,40609
Montana,53.97,9682,5225
Nebraska,62.58,24001,15021
Nevada,58.16,25077,14585
New Hampshire,61.2,15256,9336
New Jersey,74.02,103091,76312
New Mexico,60.71,20841,12652
New York,72.42,205026,148482
North Carolina,63.29,107651,68136
North Dakota,61.15,7743,4735
Ohio,63.24,122452,77435
Oklahoma,57.27,41851,23968
Oregon,55.63,36594,20358
Pennsylvania,61.9,137709,85246
Rhode Island,69.81,11039,7707
South Carolina,68.89,46760,32212
South Dakota,69.32,8522,5907
Tennessee,68.65,67268,46182
Texas,57.59,348578,200734
Utah,46.96,39100,18361
Vermont,55.11,6676,3679
Virginia,69,90213,62243
Washington,53.23,70411,37480
West Virginia,54.85,17447,9570
Wisconsin,58.28,65548,38202
Wyoming,56.12,5864,3291
Nation,63.65,3456347,2200104